Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536170755,00000288,false,Rx,0,8,E8,BD,78,00,00,50,ED,0C,
18445088912536170927,00000050,false,Rx,0,4,00,B0,44,F4,00,00,00,00,
18445088912536171166,000000AE,false,Rx,0,8,9B,98,00,00,00,00,03,00,
18445088912536171417,00000380,false,Rx,0,8,00,94,00,BE,00,00,00,06,
18445088912536171656,000001A0,false,Rx,0,8,00,40,5A,0A,FE,FE,00,19,
18445088912536171884,0000044C,false,Rx,0,8,74,6C,43,94,58,02,05,90,
18445088912536172117,000001AC,false,Rx,0,8,86,1C,10,00,69,21,00,C2,
18445088912536172359,00000480,false,Rx,0,8,C0,00,22,F3,7F,08,06,60,
18445088912536172600,000002A0,false,Rx,0,8,00,00,00,64,00,00,90,F4,
18445088912536172836,00000488,false,Rx,0,8,9D,1A,18,80,9E,FF,FF,81,
18445088912536173036,000000D0,false,Rx,0,6,7E,A8,0D,38,13,F0,00,00,
18445088912536173272,000000C2,false,Rx,0,8,44,80,00,00,80,40,AA,FB,
18445088912536173507,000003A0,false,Rx,0,8,66,0C,C1,4C,21,66,A3,03,
18445088912536173728,000003D2,false,Rx,0,7,BC,0E,33,80,01,00,00,00,
18445088912536173968,0000048A,false,Rx,0,8,E2,21,01,02,00,00,00,C0,
18445088912536174203,000004A0,false,Rx,0,8,52,0A,66,0A,54,0A,60,0A,
18445088912536174439,00000588,false,Rx,0,8,E1,81,80,84,14,80,04,95,
18445088912536174674,00000368,false,Rx,0,8,45,17,89,83,05,07,5A,00,
18445088912536174916,000004A8,false,Rx,0,8,30,00,03,80,00,20,C0,53,
18445088912536175156,000005E0,false,Rx,0,8,30,00,40,1C,49,83,07,FB,
18445088912536175387,00000320,false,Rx,0,8,20,40,12,53,0A,4A,0A,81,
18445088912536175632,000005A0,false,Rx,0,8,80,0A,07,C0,00,88,1B,AB,
18445088912536175876,00000723,false,Rx,0,7,08,03,05,00,02,00,00,00,
18445088912536176163,000003B2,false,Rx,0,8,00,80,47,02,00,00,00,00,
18445088912536177044,00000440,false,Rx,0,8,20,52,50,FE,78,00,1C,02,
18445088912536177286,00000540,false,Rx,0,8,30,00,FF,00,FF,00,02,56,
18445088912536179882,000003D4,false,Rx,0,8,47,87,40,80,08,00,00,00,
18445088912536180184,0000048C,false,Rx,0,8,0D,0A,07,00,00,00,00,00,
18445088912536180461,00000280,false,Rx,0,8,01,18,1C,0D,1A,00,1C,1A,
18445088912536180701,000000AE,false,Rx,0,8,AB,A8,00,00,00,00,03,00,
