Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000311,393,FALSE,Rx,0,8,92,0,0,0,0,0,0,0
1000312,570,FALSE,Rx,0,5,47,0,AD,0,0,0,0,0
1000313,540,FALSE,Rx,0,8,D0,0,FF,0,FF,0,2,0F
1000314,5D0,FALSE,Rx,0,8,C0,4,61,0F,39,59,C0,0
1000315,0D2,FALSE,Rx,0,5,3C,38,0,0,4,0,0,0
1000316,5D2,FALSE,Rx,0,8,2,43,30,31,32,30,38,31
1000317,3D4,FALSE,Rx,0,8,0D,8A,87,0,8,0,0,0
1000318,0AE,FALSE,Rx,0,8,1B,18,0,0,0,0,3,0
1000319,1A0,FALSE,Rx,0,8,0,40,D6,1B,FE,FE,0,11
1000320,0C2,FALSE,Rx,0,8,88,0,AA,0,80,10,BF,BD
1000321,0D0,FALSE,Rx,0,6,BE,7F,33,38,2A,E0,0,0
1000322,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,10,74
1000323,280,FALSE,Rx,0,8,1,0C,DC,16,0D,0,16,6
1000324,284,FALSE,Rx,0,6,3D,57,0A,60,0,0,0,0
1000325,288,FALSE,Rx,0,8,4E,BA,78,0,0,050,B7,8
1000326,380,FALSE,Rx,0,8,0,85,0,3A,0,0,0,5
1000327,3D0,FALSE,Rx,0,6,0,0,8,0,C8,80,0,0
1000328,480,FALSE,Rx,0,8,70,0,2E,94,56,8,6,92
1000329,488,FALSE,Rx,0,8,7A,6,0B,7E,91,FF,26,41
1000330,48A,FALSE,Rx,0,8,97,E4,1,2,0,0,0,70
1000331,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,74,2
1000332,4A0,FALSE,Rx,0,8,DE,1B,CE,1B,A8,1B,AC,1B
1000333,588,FALSE,Rx,0,8,E9,050,7E,2,0C,80,4,96
1000334,58C,FALSE,Rx,0,8,90,B0,2A,0,0,0,0,0
1000335,368,FALSE,Rx,0,8,C2,1F,89,42,5,0,13,0
1000336,58F,FALSE,Rx,0,8,B8,FD,FF,7F,0,0,0,2
1000337,5AA,FALSE,Rx,0,8,0,0,80,8,0,0,0,0
1000338,5C0,FALSE,Rx,0,8,0D,0,0,A6,21,0,0,8A
1000339,5DC,FALSE,Rx,0,8,77,14,72,7F,1D,0,80,4D
1000340,540,FALSE,Rx,0,8,E0,0,FF,0,FF,0,2,0F
1000341,44C,FALSE,Rx,0,8,46,BA,45,96,58,2,5,70
1000342,2B7,FALSE,Rx,0,8,14,4,0,0,0,0,10,0
1000343,320,FALSE,Rx,0,8,20,20,0E,B5,1B,C4,1B,91
1000344,0AE,FALSE,Rx,0,8,2B,28,0,0,0,0,3,0
1000345,0C2,FALSE,Rx,0,8,88,0,88,0,80,20,38,CF
1000346,0D0,FALSE,Rx,0,6,40,80,32,38,2A,E0,0,0
1000347,1A0,FALSE,Rx,0,8,0,40,C4,1B,FE,FE,0,12
1000348,280,FALSE,Rx,0,8,1,0C,DC,16,0D,0,16,6
1000349,1AC,FALSE,Rx,0,8,EB,11,0,0,60,A1,FA,C1
1000350,380,FALSE,Rx,0,8,0,85,0,3B,0,0,0,5
1000351,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,20,44
1000352,050,FALSE,Rx,0,4,0,B9,5C,E5,0,0,0,0
1000353,3A0,FALSE,Rx,0,8,44,1,D5,1A,D0,4C,15,3
1000354,3D2,FALSE,Rx,0,7,A6,14,33,80,1,0,0,0
1000355,488,FALSE,Rx,0,8,B4,6,0C,7E,91,FF,FF,51
